country_name,iso_code,year,gdp_per_capita,population,co2,co2_per_capita,life_expectancy
Chad,TCD,1998,219.7795309,7938840.0,0.4638389945030212,0.0584265403449535,47.8024
Chad,TCD,1999,186.6385311,8222705.0,0.4735809862613678,0.0575942732393741,47.9336
Chad,TCD,2000,163.1216637,8512093.0,0.4875119924545288,0.0572728775441646,47.937
Chad,TCD,2001,194.3229533,8804124.0,0.50559401512146,0.0574269630014896,48.3056
Chad,TCD,2002,219.061392,9116192.0,0.5312129855155945,0.0582713522017002,48.3596
Chad,TCD,2003,289.0876211,9487833.0,0.8824139833450317,0.0930048301815986,48.6095
Chad,TCD,2004,445.8507672,9920036.0,0.9061949849128724,0.0913499742746353,48.6865
Chad,TCD,2005,838.0921077,10328092.0,0.9293659925460817,0.0899842679500579,48.86
Chad,TCD,2006,906.8972606,10706424.0,0.9572870135307312,0.0894123762845993,48.7467
Chad,TCD,2007,980.4835315,11081660.0,1.088955044746399,0.0982663556933403,49.2102
Chad,TCD,2008,1166.368835,11476296.0,0.8724629878997803,0.0760230273008346,49.5034
Chad,TCD,2009,1035.637197,11893754.0,1.2197099924087524,0.1025504767894744,49.8275
Chad,TCD,2010,1141.800693,12312575.0,1.2360060214996338,0.1003856211900711,50.1067
Chad,TCD,2011,1308.142187,12754997.0,1.2766129970550537,0.1000872254371643,50.4258
Chad,TCD,2012,1354.343447,13210998.0,1.7466109991073608,0.1322087794542312,50.7651
Chad,TCD,2013,1304.88743,13691079.0,2.0821609497070312,0.1520815640687942,51.0508
Chad,TCD,2014,1278.789814,14188678.0,2.1827800273895264,0.1538395434617996,51.1411
Chad,TCD,2015,993.9907306,14647621.0,2.3518741130828857,0.1605634987354278,51.3196
Chad,TCD,2016,861.8317676,15114655.0,2.381582975387573,0.1575678288936615,51.6027
Chad,TCD,2017,854.4612004,15622759.0,2.34076189994812,0.1498302817344665,51.8747
Chad,TCD,2018,948.6566299,16156531.0,2.383510112762451,0.1475260555744171,52.4467
Chad,TCD,2019,893.3364416,16685223.0,2.2997848987579346,0.1378336399793625,52.9927
Chad,TCD,2020,866.9478149,17224679.0,2.3564460277557373,0.1368063241243362,53.0818
Chad,TCD,2021,946.3585002,17828273.0,2.6701419353485107,0.1497700810432434,53.1362
Chad,TCD,2022,966.0364683,18455316.0,2.800400972366333,0.1517395079135894,54.5275
Chad,TCD,2023,949.3334537,19319064.0,2.84839391708374,0.1474394649267196,55.0692
China,CHN,1990,318.5033536,1135185000.0,2483.534423828125,2.1528878211975098,68.1547
China,CHN,1991,334.1302881,1150780000.0,2619.143310546875,2.2370765209198,68.6099
China,CHN,1992,367.8226519,1164970000.0,2731.290283203125,2.3057148456573486,69.0587
China,CHN,1993,378.9393531,1178440000.0,2914.284423828125,2.4340295791625977,69.4924
China,CHN,1994,475.6778744,1191835000.0,3093.890869140625,2.559042930603028,69.8355
China,CHN,1995,612.6802779,1204855000.0,3351.197265625,2.7465813159942627,70.3631
China,CHN,1996,713.3373878,1217550000.0,3499.310546875,2.8427844047546387,70.8225
China,CHN,1997,786.7435485,1230075000.0,3512.349853515625,2.829939365386963,71.2271
China,CHN,1998,835.0953486,1241935000.0,3355.3359375,2.682450771331787,71.6014
China,CHN,1999,881.1466141,1252735000.0,3549.948974609375,2.817024946212769,71.9519
China,CHN,2000,969.1995137,1262645000.0,3643.8095703125,2.8700878620147705,72.2885
China,CHN,2001,1065.405976,1271850000.0,3724.1142578125,2.912364959716797,72.6755
China,CHN,2002,1163.559577,1280400000.0,4098.1806640625,3.1846189498901367,73.0339
China,CHN,2003,1306.972454,1288400000.0,4835.25146484375,3.7351772785186768,73.3853
China,CHN,2004,1530.927262,1296075000.0,5210.96142578125,4.001965999603272,73.7274
China,CHN,2005,1777.644968,1303720000.0,5881.99072265625,4.489976406097412,74.085
China,CHN,2006,2129.25697,1311020000.0,6486.1845703125,4.9210309982299805,74.4037
China,CHN,2007,2734.727099,1317885000.0,6974.6630859375,5.260666370391846,74.7886
China,CHN,2008,3523.443021,1324655000.0,7492.404296875,5.61724853515625,74.8333
China,CHN,2009,3898.244592,1331260000.0,7881.49072265625,5.870657444000244,75.3174
China,CHN,2010,4629.245517,1337705000.0,8610.0478515625,6.3704447746276855,75.6679
China,CHN,2011,5703.76028,1345035000.0,9520.1533203125,6.998823165893555,75.8891
China,CHN,2012,6405.057424,1354190000.0,9767.310546875,7.131917953491211,76.2
China,CHN,2013,7147.035186,1363240000.0,9942.37109375,7.209799289703369,76.4521
China,CHN,2014,7781.065975,1371860000.0,9976.02734375,7.187588214874268,76.7143
China,CHN,2015,8175.332851,1379860000.0,9858.0400390625,7.060954570770264,76.9755
China,CHN,2016,8254.868593,1387790000.0,9748.1748046875,6.94288444519043,77.214
China,CHN,2017,8979.676527,1396215000.0,10000.013671875,7.080383777618408,77.2353
China,CHN,2018,10085.66381,1402760000.0,10346.7900390625,7.291560649871826,77.709
